*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LightControllerLDR1
*Date=23:40:55
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;10k;THT;35.5233;-30.1334;90;Bottom;R1
2;;;45.0469;-38.824;0;Bottom;Copper Fill31
3;;;32.2261;-42.9102;-90;Bottom;TXT1
4;;;22.1704;-24.8759;90;Bottom;TXT3
5;;;2.794;-5.2579;0;Bottom;Copper Fill40
6;;;29.3116;-43.0023;0;Bottom;Copper Fill27
7;;;14.0716;-37.9223;0;Bottom;Copper Fill25
8;;THT;44.576;-28.8637;180;Bottom;J3
9;;;28.2222;-1.74;0;Top;TXT2
10;;;37.9349;-42.0752;0;Bottom;Copper Fill29
11;;TO220 [THT];7.16249;-16.0628;180;Bottom;LED2
12;;;24.9936;-25.0064;0;Bottom;Copper Fill24
13;;;47.6621;-2.0988;0;Bottom;Hole3
14;;;48.2855;-45.1169;-90;Bottom;TXT1
15;;THT;44.6573;-11.0416;180;Bottom;J2
16;;;2.42697;-26.4415;90;Bottom;TXT1
17;;;24.9026;-48.0245;0;Bottom;TXT3
18;;;48.2495;-42.5566;-90;Bottom;TXT1
19;;;37.7952;-14.6178;0;Bottom;Copper Fill16
20;;;48.0037;-9.80654;-90;Bottom;TXT1
21;;;2.56065;-32.7776;90;Bottom;TXT1
22;;;1.9685;-45.2756;0;Bottom;Copper Fill42
23;;;47.8959;-32.7061;-90;Bottom;TXT1
24;;;27.6751;-1.74989;0;Bottom;TXT2
25;;;48.9938;-11.0789;-90;Bottom;TXT1
26;;;2.27295;-47.7979;0;Bottom;Hole2
27;;;25.4353;-27.2105;90;Bottom;TXT3
28;;;1.43692;-28.0671;90;Bottom;TXT1
29;;cpol-radial-10uf-25v;37.9706;-44.0336;-90;Bottom;C2
30;;;4.09529;-38.2479;0;Bottom;TXT1
31;;;40.0067;-29.8108;90;Bottom;TXT1
